	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	gene_id	gene_type	gene_name	n_counts	DE
ENSMUSG00000102693.2	26.139013863832627	0.11062282132336448	0.31699978538987217	0.34896812686264606	0.7271132382358096	0.9999986590898096	ENSMUSG00000102693.2	TEC	4933401J01Rik	157.86548	No
ENSMUSG00000051951.6	1.1661982277575735	0.468498149678716	1.4480661325728044	0.32353366958892077	0.7462911127892635		ENSMUSG00000051951.6	protein_coding	Xkr4	7.5872936	No
ENSMUSG00000102851.2	0.0						ENSMUSG00000102851.2	processed_pseudogene	Gm18956	1.2322984	No
ENSMUSG00000103377.2	0.16273810320994733	-0.9064242003978922	3.8804825019316986	-0.2335854368488134	0.8153068347276962		ENSMUSG00000103377.2	TEC	Gm37180	1.937906	No
ENSMUSG00000104017.2	0.16324869659214353	-0.9064242293787023	3.8768062942881185	-0.2338069432858123	0.8151348590013769		ENSMUSG00000104017.2	TEC	Gm37363	1.7800729	No
ENSMUSG00000103025.2	25.477309068052335	0.14964690512201678	0.32185902327160815	0.4649455019185024	0.641970484398309	0.9999986590898096	ENSMUSG00000103025.2	TEC	Gm37686	152.5562	No
ENSMUSG00000089699.2	51.20978192873491	-0.05723307072110935	0.23667384775486988	-0.24182253875547474	0.8089176737408121	0.9999986590898096	ENSMUSG00000089699.2	lncRNA	Gm1992	307.93518	No
ENSMUSG00000103201.2	24.12132389438973	-0.004655358058737113	0.3371786979030236	-0.013806797664531129	0.9889841192990502	0.9999986590898096	ENSMUSG00000103201.2	TEC	Gm37329	144.96397	No
ENSMUSG00000103147.2	6.315554720598015	-0.09764984056359015	0.6298456413811488	-0.1550377332920173	0.876791570075907	0.9999986590898096	ENSMUSG00000103147.2	processed_pseudogene	Gm7341	37.68656	No
ENSMUSG00000103161.2	300.7146194484391	0.0537587725250632	0.13177496126773874	0.4079589324700068	0.6833038254413668	0.9999986590898096	ENSMUSG00000103161.2	TEC	Gm38148	1807.8523	No
ENSMUSG00000102331.2	2.3233219815322257	-0.3608027675555596	1.0411588652955774	-0.34653959120170413	0.7289372357432958		ENSMUSG00000102331.2	lncRNA	Gm19938	14.98296	No
ENSMUSG00000102348.2	0.0						ENSMUSG00000102348.2	TEC	Gm10568	1.2322972	No
ENSMUSG00000088333.4	0.5088463823551074	2.4980629597212634	2.602549499315311	0.9598522373459039	0.337129587479691		ENSMUSG00000088333.4	snRNA	Gm27396	2.5973501	No
ENSMUSG00000102343.2	2.1534288389787677	-0.6229832721233923	1.0815344075865747	-0.5760179868096557	0.564603023997093		ENSMUSG00000102343.2	lncRNA	Gm37381	13.40452	No
ENSMUSG00000025900.14	3.6350072080980333	-1.0444649374658859	0.8635425021886419	-1.2095119056892942	0.22646623989802595	0.9999986590898096	ENSMUSG00000025900.14	protein_coding	Rp1	21.007298	No
ENSMUSG00000102948.2	3.824044399736707	-0.070318993471804	0.8008997950792801	-0.08779998934179177	0.9300356462377407	0.9999986590898096	ENSMUSG00000102948.2	processed_pseudogene	Gm6101	23.790989	No
ENSMUSG00000104123.2	30.633718082159977	0.08721364368113525	0.2984867114096507	0.292186018162266	0.7701444013187229	0.9999986590898096	ENSMUSG00000104123.2	TEC	Gm37483	184.17093	No
ENSMUSG00000025902.14	18.99852466127121	0.15753900081500197	0.3725408861758981	0.42287707647911355	0.6723849486584761	0.9999986590898096	ENSMUSG00000025902.14	protein_coding	Sox17	113.84494	No
ENSMUSG00000104238.2	7.296461593922561	-0.34219640944699736	0.5933046061657924	-0.5767634464502613	0.5640992657431253	0.9999986590898096	ENSMUSG00000104238.2	lncRNA	Gm37587	43.11388	No
ENSMUSG00000102269.2	9.82304970291087	0.10440749568947814	0.5054276984480324	0.20657256420665526	0.8363436886862294	0.9999986590898096	ENSMUSG00000102269.2	processed_pseudogene	Gm7357	58.0828	No
ENSMUSG00000118917.1	114.0631801303292	0.13562146644925158	0.18023673774347168	0.7524629448313674	0.451772705690768	0.9999986590898096	ENSMUSG00000118917.1	snRNA	Gm22307	686.2438	No
ENSMUSG00000103003.2	1.5029378148110537	0.37877543254811075	1.2802270550414208	0.29586582400092754	0.7673325516824716		ENSMUSG00000103003.2	processed_pseudogene	Gm38076	8.035784	No
ENSMUSG00000102735.2	0.3377152734529312	1.9088958002087597	2.9541392703798968	0.646176644191619	0.5181649634187493		ENSMUSG00000102735.2	processed_pseudogene	Gm7369	2.261438	No
ENSMUSG00000098104.2	3.6661967345535764	0.3189236451566505	0.8261354421025937	0.3860428071515239	0.6994649659239207	0.9999986590898096	ENSMUSG00000098104.2	processed_pseudogene	Gm6085	22.215942	No
ENSMUSG00000102175.2	119.86803013752534	0.3412301056228031	0.17021843059028893	2.004660156009396	0.04499939083183897	0.9999986590898096	ENSMUSG00000102175.2	processed_pseudogene	Gm6119	718.07825	No
ENSMUSG00002075947.1	56.11284473368416	0.0816026389073632	0.22813769791317515	0.3576902881628078	0.7205751018305346	0.9999986590898096	ENSMUSG00002075947.1	snRNA	Gm56275	337.1414	No
ENSMUSG00000033845.14	71.83476406912324	0.2634412631108093	0.20603212977569196	1.278641653598489	0.20102327475581627	0.9999986590898096	ENSMUSG00000033845.14	protein_coding	Mrpl15	431.49075	No
ENSMUSG00000102275.2	23.78766520503657	-0.005234693834270725	0.3312592984440418	-0.015802405725238833	0.987392029185869	0.9999986590898096	ENSMUSG00000102275.2	TEC	Gm37144	142.0529	No
ENSMUSG00000120403.1	24.946011214785198	0.05437370987121365	0.32800108044726656	0.1657729596410748	0.8683356267382094	0.9999986590898096	ENSMUSG00000120403.1	lncRNA	ENSMUSG00000120403	149.84714	No
ENSMUSG00000025903.15	37.4459750397835	0.09359508669536079	0.2719084208018241	0.3442154767379419	0.7306842439335799	0.9999986590898096	ENSMUSG00000025903.15	protein_coding	Lypla1	224.9841	No
ENSMUSG00000033813.16	1.1696515907128646	0.4718705482378678	1.4472589145643653	0.3260443197061971	0.7443908233759451		ENSMUSG00000033813.16	protein_coding	Tcea1	7.5892563	No
ENSMUSG00000062588.5	5.511134487219716	0.6764322417804629	0.6819794800209737	0.9918659748525861	0.32126290895786414	0.9999986590898096	ENSMUSG00000062588.5	processed_pseudogene	Gm6104	32.659172	No
ENSMUSG00000002459.18	16.940422080955194	-0.22855488011016248	0.3898230605672235	-0.5863041549609636	0.557671139375219	0.9999986590898096	ENSMUSG00000002459.18	protein_coding	Rgs20	101.89308	No
ENSMUSG00000091305.2	0.4975565117656135	-0.8405144229753024	2.318425173399859	-0.36253679118861903	0.7169509353185775		ENSMUSG00000091305.2	processed_pseudogene	Gm17100	3.8603	No
ENSMUSG00000102653.2	24.907835967718754	-0.21510479093389945	0.3274599241274924	-0.6568889048241247	0.5112523528892836	0.9999986590898096	ENSMUSG00000102653.2	TEC	Gm37079	149.76399	No
ENSMUSG00000091665.2	214.92228446349057	-0.10762847520008154	0.14292150182079566	-0.7530600632438998	0.45141382171836064	0.9999986590898096	ENSMUSG00000091665.2	processed_pseudogene	Gm17101	1292.9458	No
ENSMUSG00000104352.2	9.016170803385764	0.4865001257648775	0.5318839206664451	0.9146734970955652	0.3603630617268675	0.9999986590898096	ENSMUSG00000104352.2	processed_pseudogene	Gm7182	55.128105	No
ENSMUSG00000104046.2	13.784871307912676	-0.2584990779926595	0.4324467362181501	-0.5977593454706019	0.5500005209099169	0.9999986590898096	ENSMUSG00000104046.2	TEC	Gm37567	83.21854	No
ENSMUSG00000102907.2	44.040734009464266	-0.1738585402196509	0.25355292896982395	-0.6856893388139179	0.4929090310810358	0.9999986590898096	ENSMUSG00000102907.2	TEC	Gm38264	264.43152	No
ENSMUSG00000025905.15	39.71614079022436	-0.15023035815838384	0.264412914494052	-0.5681657359507049	0.5699224350585916	0.9999986590898096	ENSMUSG00000025905.15	protein_coding	Oprk1	238.5285	No
ENSMUSG00000103936.2	17.591275609207333	-0.3833088950286179	0.38406032557248837	-0.9980434569940273	0.31825828639832	0.9999986590898096	ENSMUSG00000103936.2	processed_pseudogene	Gm36965	106.3325	No
ENSMUSG00002076544.1	11.825199223690904	0.09688741262945977	0.4673037414759302	0.20733284164053764	0.8357499274229345	0.9999986590898096	ENSMUSG00002076544.1	miRNA	Gm56304	71.45969	No
ENSMUSG00000103519.2	32.155680236344644	0.2200037733916377	0.2902258096437077	0.7580434478302353	0.4484249729927591	0.9999986590898096	ENSMUSG00000103519.2	TEC	Gm37429	192.57402	No
ENSMUSG00000033774.5	23.011172764334457	0.30744601745718503	0.3404125961667589	0.9031569951265128	0.3664425783181795	0.9999986590898096	ENSMUSG00000033774.5	protein_coding	Npbwr1	136.96146	No
ENSMUSG00000103090.2	2.49459747538699	-0.13651349686695013	0.9913386348011941	-0.1377062207348823	0.8904726028080958	0.9999986590898096	ENSMUSG00000103090.2	processed_pseudogene	Gm19214	14.685354	No
ENSMUSG00000090031.4	0.8346887972046103	0.6379065442324562	1.771219464200179	0.3601510468498112	0.7187341805973838		ENSMUSG00000090031.4	lncRNA	4732440D04Rik	5.35285	No
ENSMUSG00000025907.15	3.4906857810067797	-0.08323085669605512	0.845326090668938	-0.09846005892257678	0.9215669861688732	0.9999986590898096	ENSMUSG00000025907.15	protein_coding	Rb1cc1	22.05577	No
ENSMUSG00000087247.4	235.56400489420142	-0.006041237591583532	0.14233694628673443	-0.042443214844679895	0.9661453789048093	0.9999986590898096	ENSMUSG00000087247.4	protein_coding	Alkal1	1416.067	No
ENSMUSG00000103355.2	0.16767774594688545	1.0171552173071963	3.845692565827099	0.26449207779780887	0.7914007685320619		ENSMUSG00000103355.2	processed_pseudogene	Gm2147	2.261374	No
ENSMUSG00000102706.2	0.34116863640822204	1.9184731734544553	2.9474269005663922	0.6508976263620964	0.5151125737973186		ENSMUSG00000102706.2	processed_pseudogene	Gm7417	2.63454	No
ENSMUSG00000103845.2	0.9901274761184592	-0.9463137697989327	1.627526780392078	-0.5814428255189519	0.5609420414813475		ENSMUSG00000103845.2	processed_pseudogene	Gm19026	5.170948	No
ENSMUSG00000033740.18	102.33908665046249	0.05974574351383346	0.18063971268100404	0.3307453418027734	0.7408368501513007	0.9999986590898096	ENSMUSG00000033740.18	protein_coding	St18	616.12506	No
ENSMUSG00000103329.3	55.95444797913336	0.15841737642007725	0.2278602417619667	0.695239218545056	0.48690539823876267	0.9999986590898096	ENSMUSG00000103329.3	TEC	Gm42492	335.9	No
ENSMUSG00000104385.2	5.322069061766731	0.05524808408940141	0.6840936707444769	0.080760992905075	0.9356320298485964	0.9999986590898096	ENSMUSG00000104385.2	processed_pseudogene	Gm7449	32.47045	No
ENSMUSG00000102135.2	212.60198884794065	0.010090226169132667	0.13889166987247548	0.07264817377742734	0.9420860908387085	0.9999986590898096	ENSMUSG00000102135.2	processed_pseudogene	Gm37108	1278.6533	No
ENSMUSG00000103282.2	48.625600905054675	0.15425146080212562	0.24201413232287367	0.6373655096981572	0.5238867888870077	0.9999986590898096	ENSMUSG00000103282.2	processed_pseudogene	Gm37275	293.10007	No
ENSMUSG00000102534.2	0.4946137421925188	-0.8417270146281929	2.3211994372196196	-0.3626258912230441	0.7168843665349466		ENSMUSG00000102534.2	processed_pseudogene	Gm37225	3.146566	No
ENSMUSG00000102213.2	0.16273810320994733	-0.9064242003978922	3.8804825019316986	-0.2335854368488134	0.8153068347276962		ENSMUSG00000102213.2	processed_pseudogene	Gm37489	2.019461	No
ENSMUSG00000103629.2	26.641952325741702	0.16320171068902942	0.3162462396698399	0.5160589762566394	0.6058132190189491	0.9999986590898096	ENSMUSG00000103629.2	processed_pseudogene	Gm5694	158.85628	No
ENSMUSG00000120372.1	61.210642424703074	0.02336386757863508	0.2212596240042485	0.10559480828814234	0.9159038441077683	0.9999986590898096	ENSMUSG00000120372.1	lncRNA	ENSMUSG00000120372	368.28943	No
ENSMUSG00000098201.2	4.83139649030097	0.15491555008610336	0.7179944173701097	0.2157614966611195	0.8291736625883246	0.9999986590898096	ENSMUSG00000098201.2	processed_pseudogene	Gm26983	29.241714	No
ENSMUSG00000048538.8	0.17003752750604575	1.0171552344207146	3.829653377189593	0.26559981654714615	0.790547426897747		ENSMUSG00000048538.8	processed_pseudogene	Gm9826	2.1232646	No
ENSMUSG00000103709.2	1.9989621421191905	0.05713364336649955	1.1169186861358475	0.05115291209260917	0.9592036733934054		ENSMUSG00000103709.2	processed_pseudogene	Nras-ps2	12.807236	No
ENSMUSG00000102768.2	134.47120412139483	0.05553601119590408	0.1615028557836196	0.34387014970379753	0.7309439415154548	0.9999986590898096	ENSMUSG00000102768.2	processed_pseudogene	Gm19002	808.76373	No
ENSMUSG00000097797.7	1.4872453848227263	-0.9439458851429404	1.3252264188410758	-0.712290271098301	0.47628504730047994		ENSMUSG00000097797.7	lncRNA	Gm26901	9.22988	No
ENSMUSG00000103498.2	1.3249458846741253	-0.6815983267962766	1.3752872635167028	-0.49560433291106293	0.6201735951851103		ENSMUSG00000103498.2	processed_pseudogene	Gm18984	6.872162	No
ENSMUSG00000102320.2	31.88233004341836	-1.127691214893592	0.30644158095971635	-3.6799549570325256	0.00023327515467792264	0.05419618048135446	ENSMUSG00000102320.2	processed_pseudogene	Gm37791	192.57301	No
ENSMUSG00000104226.2	25.44996189859242	-0.0388229854702263	0.32166416607727594	-0.12069415733706422	0.9039332869345488	0.9999986590898096	ENSMUSG00000104226.2	processed_pseudogene	Gm7470	152.26894	No
ENSMUSG00000103557.2	32.09381770018675	-0.049498977423067976	0.2899032364479904	-0.17074310045499705	0.8644257711577045	0.9999986590898096	ENSMUSG00000103557.2	processed_pseudogene	Gm38216	193.515	No
ENSMUSG00000025909.17	1.0064028941207208	1.0570325484382634	1.6225460493197466	0.6514653614185096	0.51474613012066		ENSMUSG00000025909.17	protein_coding	Sntg1	6.173593	No
ENSMUSG00000102647.2	35.7500131456137	-0.06536835352135786	0.279145323808804	-0.23417319921193033	0.8148505205365614	0.9999986590898096	ENSMUSG00000102647.2	TEC	Gm38024	215.75922	No
ENSMUSG00000086235.2	2.6483595848907737	-0.6819771839801655	0.9826676134797773	-0.6940059635884197	0.48767846901265277	0.9999986590898096	ENSMUSG00000086235.2	processed_pseudogene	Gm16284	16.699814	No
ENSMUSG00000102253.2	17.896829778461342	-0.5969041797070862	0.38857792168546557	-1.5361247934983049	0.12450777651616243	0.9999986590898096	ENSMUSG00000102253.2	TEC	Gm38259	107.00792	No
ENSMUSG00002074990.1	5.504247176029055	0.31880304962473627	0.6742498615996556	0.47282627373237734	0.6363371276733539	0.9999986590898096	ENSMUSG00002074990.1	miRNA	Gm54704	32.787727	No
ENSMUSG00000103884.2	56.67275030100132	-0.15682615525353127	0.23382690911700055	-0.6706933596554525	0.5024158939306196	0.9999986590898096	ENSMUSG00000103884.2	TEC	Gm37005	341.20792	No
ENSMUSG00000084353.2	38.90595365046181	-0.09271878783367699	0.26729075708329786	-0.3468836290690827	0.7286787460288914	0.9999986590898096	ENSMUSG00000084353.2	processed_pseudogene	Gm15452	234.38649	No
ENSMUSG00000103933.2	96.20696338739589	0.06558959720404765	0.18323960845734702	0.35794443000741866	0.7203849002293932	0.9999986590898096	ENSMUSG00000103933.2	processed_pseudogene	Gm36964	578.95685	No
ENSMUSG00000086195.2	30.420040775556462	-0.08759099228642173	0.3035869833213161	-0.2885202498742033	0.7729485320891771	0.9999986590898096	ENSMUSG00000086195.2	processed_pseudogene	Gm6152	183.8962	No
ENSMUSG00000104504.2	1.996457975607442	0.05433591019289127	1.117141940143259	0.04863832270581784	0.9612075289894443		ENSMUSG00000104504.2	processed_pseudogene	Gm7445	12.32211	No
ENSMUSG00000066693.3	61.95322665434096	-0.2010951829319163	0.21909948301321558	-0.9178259125321018	0.3587100138461693	0.9999986590898096	ENSMUSG00000066693.3	processed_pseudogene	Gm7493	373.57712	No
ENSMUSG00000102316.2	36.46531903237206	0.1474395567188385	0.2732399247257425	0.5395974137631137	0.5894747005680726	0.9999986590898096	ENSMUSG00000102316.2	TEC	Gm37629	218.85867	No
ENSMUSG00000103819.2	0.6720950789472511	1.536260035555795	2.0647799338759643	0.7440308821056576	0.4568577922534891		ENSMUSG00000103819.2	processed_pseudogene	Gm38008	4.543865	No
ENSMUSG00000102871.2	524.7517069151662	0.08170461671094387	0.10724983383878832	0.7618157883000309	0.4461699560017729	0.9999986590898096	ENSMUSG00000102871.2	TEC	Gm37143	3152.4717	No
ENSMUSG00000101571.3	103.27182948261748	0.13070098465934252	0.18525449831475813	0.705521246978165	0.4804859143270672	0.9999986590898096	ENSMUSG00000101571.3	processed_pseudogene	Gm6187	620.34607	No
ENSMUSG00000104428.2	135.9873157958717	-0.08604801086249927	0.15857620804070596	-0.5426287582839101	0.5873854342758507	0.9999986590898096	ENSMUSG00000104428.2	processed_pseudogene	Gm18299	817.2092	No
ENSMUSG00000102272.2	15.85494893145406	0.4529574183397767	0.4041207732906558	1.1208466584171264	0.2623531395639752	0.9999986590898096	ENSMUSG00000102272.2	processed_pseudogene	Gm7512	94.4314	No
ENSMUSG00000065625.3	71.23565600809142	0.06893731157444641	0.20416034302259425	0.33766259673073323	0.7356174643414052	0.9999986590898096	ENSMUSG00000065625.3	snRNA	Gm24765	427.64844	No
ENSMUSG00000103411.2	80.88234600581319	0.3123044083174782	0.1969668471881052	1.585568397808716	0.1128372497704495	0.9999986590898096	ENSMUSG00000103411.2	processed_pseudogene	Gm18300	484.1017	No
ENSMUSG00000061024.9	14.249825964248727	-0.5580173784469971	0.427631874726846	-1.3049012747317679	0.19192646712771233	0.9999986590898096	ENSMUSG00000061024.9	protein_coding	Rrs1	84.946884	No
ENSMUSG00000025911.15	135.8038485830473	0.062473756582185534	0.15853372888829373	0.39407233413531756	0.6935276359345748	0.9999986590898096	ENSMUSG00000025911.15	protein_coding	Adhfe1	814.8982	No
ENSMUSG00000067879.4	23.78097329822354	-0.08553371004691299	0.3330618453712866	-0.25681029284985424	0.7973252239529329	0.9999986590898096	ENSMUSG00000067879.4	protein_coding	Vxn	143.536	No
ENSMUSG00000099827.2	5.151932649673038	-0.22439243711454843	0.6999772094156557	-0.32057106159480864	0.7485354705749541	0.9999986590898096	ENSMUSG00000099827.2	lncRNA	Gm29520	31.475452	No
