,gene_id,gene_type,gene_name
0,ENSMUSG00000102693.1,TEC,4933401J01Rik
3,ENSMUSG00000064842.1,snRNA,Gm26206
6,ENSMUSG00000051951.5,protein_coding,Xkr4
24,ENSMUSG00000102851.1,processed_pseudogene,Gm18956
27,ENSMUSG00000103377.1,TEC,Gm37180
30,ENSMUSG00000104017.1,TEC,Gm37363
33,ENSMUSG00000103025.1,TEC,Gm37686
36,ENSMUSG00000089699.1,antisense,Gm1992
40,ENSMUSG00000103201.1,TEC,Gm37329
43,ENSMUSG00000103147.1,processed_pseudogene,Gm7341
46,ENSMUSG00000103161.1,TEC,Gm38148
49,ENSMUSG00000102331.1,sense_intronic,Gm19938
53,ENSMUSG00000102348.1,TEC,Gm10568
56,ENSMUSG00000102592.1,TEC,Gm38385
59,ENSMUSG00000088333.2,snRNA,Gm27396
62,ENSMUSG00000102343.1,lincRNA,Gm37381
70,ENSMUSG00000025900.12,protein_coding,Rp1
166,ENSMUSG00000102948.1,processed_pseudogene,Gm6101
170,ENSMUSG00000104123.1,TEC,Gm37483
173,ENSMUSG00000025902.13,protein_coding,Sox17
257,ENSMUSG00000104238.1,processed_transcript,Gm37587
264,ENSMUSG00000102269.1,processed_pseudogene,Gm7357
268,ENSMUSG00000096126.1,snRNA,Gm22307
271,ENSMUSG00000103003.1,processed_pseudogene,Gm38076
274,ENSMUSG00000104328.1,lincRNA,Gm37323
278,ENSMUSG00000102735.1,processed_pseudogene,Gm7369
281,ENSMUSG00000098104.1,processed_pseudogene,Gm6085
284,ENSMUSG00000102175.1,processed_pseudogene,Gm6119
287,ENSMUSG00000088000.1,snRNA,Gm25493
290,ENSMUSG00000103265.1,processed_pseudogene,Gm2053
293,ENSMUSG00000103922.1,processed_pseudogene,Gm6123
296,ENSMUSG00000033845.13,protein_coding,Mrpl15
364,ENSMUSG00000102275.1,TEC,Gm37144
367,ENSMUSG00000025903.14,protein_coding,Lypla1
516,ENSMUSG00000104217.1,protein_coding,Gm37988
542,ENSMUSG00000033813.15,protein_coding,Tcea1
593,ENSMUSG00000062588.4,processed_pseudogene,Gm6104
596,ENSMUSG00000103280.1,TEC,Gm37277
599,ENSMUSG00000002459.17,protein_coding,Rgs20
676,ENSMUSG00000091305.1,processed_pseudogene,Gm17100
679,ENSMUSG00000102653.1,TEC,Gm37079
682,ENSMUSG00000085623.1,antisense,Gm16041
687,ENSMUSG00000091665.1,processed_pseudogene,Gm17101
690,ENSMUSG00000033793.12,protein_coding,Atp6v1h
832,ENSMUSG00000104352.1,processed_pseudogene,Gm7182
836,ENSMUSG00000104046.1,TEC,Gm37567
839,ENSMUSG00000102907.1,TEC,Gm38264
842,ENSMUSG00000025905.13,protein_coding,Oprk1
885,ENSMUSG00000103936.1,processed_pseudogene,Gm36965
888,ENSMUSG00000093015.1,miRNA,Gm22463
891,ENSMUSG00000103519.1,TEC,Gm37429
894,ENSMUSG00000033774.4,protein_coding,Npbwr1
902,ENSMUSG00000103090.1,processed_pseudogene,Gm19214
905,ENSMUSG00000025907.14,protein_coding,Rb1cc1
1154,ENSMUSG00000090031.2,antisense,4732440D04Rik
1162,ENSMUSG00000087247.3,protein_coding,Alkal1
1178,ENSMUSG00000103355.1,processed_pseudogene,Gm2147
1181,ENSMUSG00000102706.1,processed_pseudogene,Gm7417
1184,ENSMUSG00000103845.1,processed_pseudogene,Gm19026
1188,ENSMUSG00000033740.17,protein_coding,St18
1564,ENSMUSG00000103329.2,TEC,Gm42492
1567,ENSMUSG00000104385.1,processed_pseudogene,Gm7449
1570,ENSMUSG00000102135.1,processed_pseudogene,Gm37108
1574,ENSMUSG00000103282.1,processed_pseudogene,Gm37275
1577,ENSMUSG00000102534.1,processed_pseudogene,Gm37225
1580,ENSMUSG00000102213.1,processed_pseudogene,Gm37489
1583,ENSMUSG00000103629.1,processed_pseudogene,Gm5694
1587,ENSMUSG00000051285.17,protein_coding,Pcmtd1
1652,ENSMUSG00000098201.1,processed_pseudogene,Gm26983
1655,ENSMUSG00000103509.1,TEC,Gm38372
1658,ENSMUSG00000048538.7,processed_pseudogene,Gm9826
1661,ENSMUSG00000103709.1,processed_pseudogene,Nras-ps2
1664,ENSMUSG00000077244.1,snoRNA,Gm23274
1667,ENSMUSG00000102768.1,processed_pseudogene,Gm19002
1670,ENSMUSG00000097797.6,lincRNA,Gm26901
1687,ENSMUSG00000103498.1,processed_pseudogene,Gm18984
1691,ENSMUSG00000103067.1,lincRNA,Gm30414
1696,ENSMUSG00000102320.1,processed_pseudogene,Gm37791
1699,ENSMUSG00000104226.1,processed_pseudogene,Gm7470
1702,ENSMUSG00000103903.1,processed_pseudogene,Rps2-ps2
1705,ENSMUSG00000103557.1,processed_pseudogene,Gm38216
1709,ENSMUSG00000025909.16,protein_coding,Sntg1
1979,ENSMUSG00000102647.1,TEC,Gm38024
1982,ENSMUSG00000086235.1,processed_pseudogene,Gm16284
1985,ENSMUSG00000102253.1,TEC,Gm38259
1988,ENSMUSG00000093970.1,miRNA,Gm23358
1991,ENSMUSG00000103884.1,TEC,Gm37005
1994,ENSMUSG00000084353.1,processed_pseudogene,Gm15452
1997,ENSMUSG00000103933.1,processed_pseudogene,Gm36964
2000,ENSMUSG00000076135.1,miRNA,Gm24276
2003,ENSMUSG00000086195.1,processed_pseudogene,Gm6152
2006,ENSMUSG00000104504.1,processed_pseudogene,Gm7445
2009,ENSMUSG00000066693.2,processed_pseudogene,Gm7493
2012,ENSMUSG00000102316.1,TEC,Gm37629
2015,ENSMUSG00000103819.1,processed_pseudogene,Gm38008
2018,ENSMUSG00000102871.1,TEC,Gm37143
2021,ENSMUSG00000101571.2,processed_pseudogene,Gm6187
2026,ENSMUSG00000104428.1,processed_pseudogene,Gm18299
2029,ENSMUSG00000102272.1,processed_pseudogene,Gm7512
2032,ENSMUSG00000065625.1,snRNA,Gm24765
2035,ENSMUSG00000103411.1,processed_pseudogene,Gm18300
2040,ENSMUSG00000061024.8,protein_coding,Rrs1
2048,ENSMUSG00000025911.14,protein_coding,Adhfe1
2176,ENSMUSG00000079671.8,processed_transcript,2610203C22Rik
2202,ENSMUSG00000081441.3,processed_pseudogene,Gm6161
2205,ENSMUSG00000067879.3,protein_coding,Vxn
2223,ENSMUSG00000099827.1,lincRNA,Gm29520
2227,ENSMUSG00000025912.16,protein_coding,Mybl1
2324,ENSMUSG00000045210.8,protein_coding,Vcpip1
2336,ENSMUSG00000097893.8,antisense,1700034P13Rik
2376,ENSMUSG00000025915.14,protein_coding,Sgk3
2676,ENSMUSG00000046334.4,processed_pseudogene,Gm6195
2679,ENSMUSG00000088916.1,snRNA,Gm22607
2682,ENSMUSG00000046101.16,protein_coding,Mcmdc2
2843,ENSMUSG00000098234.7,lincRNA,Snhg6
2865,ENSMUSG00000093178.1,snoRNA,Snord87
2868,ENSMUSG00000099032.2,protein_coding,Tcf24
2885,ENSMUSG00000104025.1,TEC,E330040D14Rik
2888,ENSMUSG00000025916.10,protein_coding,Ppp1r42
2981,ENSMUSG00000087199.1,antisense,Gm15818
2985,ENSMUSG00000095780.1,snRNA,Gm24674
2988,ENSMUSG00000025917.9,protein_coding,Cops5
3072,ENSMUSG00000056763.16,protein_coding,Cspp1
3414,ENSMUSG00000102356.1,TEC,1700047N06Rik
3417,ENSMUSG00000067851.11,protein_coding,Arfgef1
3566,ENSMUSG00000088153.1,misc_RNA,Gm26348
3569,ENSMUSG00000102556.1,TEC,Gm37569
3572,ENSMUSG00000042501.12,protein_coding,Cpa6
3631,ENSMUSG00000103810.1,TEC,Gm38005
3634,ENSMUSG00000083422.1,processed_pseudogene,Gm15604
3637,ENSMUSG00000094979.1,snRNA,Gm25253
3640,ENSMUSG00000081417.1,processed_pseudogene,Gm15603
3643,ENSMUSG00000103448.1,TEC,Gm37133
3646,ENSMUSG00000100212.1,processed_pseudogene,Gm5522
3649,ENSMUSG00000100648.1,processed_pseudogene,Gm28659
3652,ENSMUSG00000088585.1,snoRNA,Gm22963
3655,ENSMUSG00000048960.13,protein_coding,Prex2
3819,ENSMUSG00000077318.1,snoRNA,Gm24173
3822,ENSMUSG00000101827.1,processed_pseudogene,Gm28686
3825,ENSMUSG00000103494.1,TEC,Gm37410
3828,ENSMUSG00000057715.13,protein_coding,A830018L16Rik
4020,ENSMUSG00000103825.1,TEC,Gm38178
4023,ENSMUSG00000099845.1,processed_pseudogene,Gm29273
4026,ENSMUSG00000103561.1,TEC,Gm38069
4029,ENSMUSG00000101610.1,processed_pseudogene,Gm7560
4032,ENSMUSG00000093864.1,snRNA,Gm22633
4035,ENSMUSG00000098555.1,miRNA,Mir6341
4038,ENSMUSG00000097628.1,processed_pseudogene,Gm2383
4041,ENSMUSG00000098163.1,processed_pseudogene,Gm6216
4044,ENSMUSG00000097171.1,lincRNA,Gm17644
4049,ENSMUSG00000101314.1,lincRNA,Gm29663
4052,ENSMUSG00000016918.15,protein_coding,Sulf1
4300,ENSMUSG00000025938.16,protein_coding,Slco5a1
4424,ENSMUSG00000104518.1,TEC,Gm37162
4427,ENSMUSG00000069620.6,processed_pseudogene,Gm5250
4430,ENSMUSG00000099498.1,lincRNA,Gm29283
4436,ENSMUSG00000042414.7,protein_coding,Prdm14
4458,ENSMUSG00000005886.14,protein_coding,Ncoa2
4671,ENSMUSG00000103506.1,TEC,Gm38376
4674,ENSMUSG00000103495.1,TEC,Gm37409
4677,ENSMUSG00000099183.1,miRNA,Gm27881
4680,ENSMUSG00000102639.1,TEC,Gm38223
4683,ENSMUSG00000104170.1,TEC,Gm37702
4686,ENSMUSG00000087782.1,snRNA,Gm23169
4689,ENSMUSG00000103085.1,TEC,Gm38120
4692,ENSMUSG00000102664.1,TEC,Gm38380
4695,ENSMUSG00000101476.1,antisense,Gm29570
4699,ENSMUSG00000101171.1,processed_pseudogene,Gm7593
4702,ENSMUSG00000025935.10,protein_coding,Tram1
4748,ENSMUSG00000025937.6,protein_coding,Lactb2
4771,ENSMUSG00000102982.1,TEC,Gm38319
4774,ENSMUSG00000067813.3,protein_coding,Xkr9
4788,ENSMUSG00000077368.1,snoRNA,Gm26273
